MD5,SHA1,SHA256,Description
426a8bb38ce3d79ec64c50a68c89452e,236bb3420833af22150b16bd8bd088ec1e2c8756,7096e5e611001ab28892adfd1dbfc2468067f1348c219b896e18afa7e9f874e6,xStart phishing email
f6a26c99b890b48baa87ab5c1c71e91f,05eecbd6143d612c9a9ed2a3308b7fb1b5ef161b,bdb13a3c67c018cb8bb295753f5f88aa61999c3dca73ce869cdbbd0fcf081b91,xStart ZIP
6d4094c8ed0c9eb041dc84ca26898a09,e27295c275b69d9794d42aadd39fe4234b587250,2c42c3e05317c2d2e30ace8b005522fc37171263d7d340a5f92fc0231a57097b,xStart ZIP
18178476d5341a243de1464268fbdf83,2bb766a881f67b5234fe386ea7ece4fe6206ba98,d53c7b7cdc233051ac6d2c465fef0c5c893875590fd86720a13d627114ee9127,xStart ZIP
a66ab7c1c4d0df662ed524bf70785c2b,3cbee6c4429c7a83c378d4ff986a8c1926d7fc56,01dc563e0e0afcfb70ed22fbf114ebd7cbd1443cf67012407a10ff125fc0485f,xStart ZIP
ea7ec2ac86a903b4d9293c719fb44577,55682c5fb12c7018ece09370398b3f96c050ef62,60b33385519592a3ae48bd82767cbc617fd62fb2ee7fed83b4aa6fe3c9d79420,xStart ZIP
d0a98bffda6791b10f26d7f579881c09,d8d798adb6518624280073da8112d247ee5f3853,c4282fa2f8f638c5fe360babc661a21676ba288a81da9e3f0b4769ee44755a58,xStart ZIP
b7327b0e6f721bc7d87c27bae1b6a99b,6d199ad27a97bab580e69316a6cbbe4908c4fd2c,34ac6845ab329703d059cb7f8ece73cfe6ebe967a6ac377dab6ca876900be0e4,xStart RAR
d5ba82fb0fd7e3243ba70ad4544e2aff,43182cc4d1011ef2767213312f2fc6992e43ee18,0b1fac56092e3606a4a2b38905424c406e123aaa807e118cf8e281582733aab1,xStart DLL
715eb131f7c9ee3ee44dc6c84d200bdd,6c218f2940a747b3e18a4dd829abab9315d92ac9,2170b8b11425b62cdc0bc1df85664130961cca921a70dc2ec6da088e04ce59c1,xStart DLL
5876ecb876da714fe19f0a6615114145,29cbce721803c948b788db42ef90be5ad9389419,21264b951e15124c5bdf20aee5dc4c7ee1904e3b6a488df8b54c8bbd4d0baabb,xStart DLL
7217ed367a528c6404c9f8da2387a108,7aed398895b9a02b74b8905480ce53a243be3c0b,34ad78b63ae71cc1ffda60c572b89ad931abd237499c8aeb3372ee00816e0300,xStart EXE
be7e91aa2c571ba6ed2bc61c64f1aad9,1e1179d524182493fa9f2cb55ea4dee2bd651144,63653082725f17cd4a8f5daa065041696f37c1a2f990bb2dd586c1349202c5af,xStart DLL
79ea38eb9f5fb1328a16ca5448e01612,bf8fb005e8e9479007981641a3c2e0ba5baa472b,f3f03ad36422f4eb64f6ed05d3bfc83bc8d8ef170e9000d82ab9834e7f469a36,xStart DLL
86d064b5ac51dacf4f2cbbc6e4a45aae,4912d883aca0cb5f82ca74f7e22262d0770a6598,e7357b82378dd30074b15b69f6b729c29d4d0b666a345e4739e8d6414ab47fe5,xStart DLL (DNS shellcode variant)
0f114f983114d62f11e1fbafa69e8e4b,ba693c29118a40ed8b2c224deb9a997372805b64,e385d780f22dbda199c0fe7b778d9d7be76c9ced426fbaf81bc9594c4748bc8f,xStart DLL (Eagle Investments signed)
f6fb90d61adc56eea5b09d78ebb60c36,f2d0623ff84ee0dd9d4e1ad7234834a49d09b553,b64a4cd485f72e9ce1503b50cd2b5f9f0d8e08d7616543e4acfa559a9b05af34,xStart DLL
5c83ed792bdf86dd6efd55a088ccd5e8,43582c3a57a4cb98217164c15df08e31c3a50812,8f0b2fa58681e92c0f0a37b289de6c6c92a309f93ba89dfad9591b7176fb0b44,xStart DLL
762c6bb94d7caca074e168a0b2ba6e5b,4035f263d74819f36c28af69daaf58e0747aa301,7cf35f3608bfd16f83a315ad413354dc49ffc31668ab87e7bcda6389b1211dc5,xStart DLL
cd48f1a1c0baa6ee9e0e7ef981dbad30,e7f26490b5c801481a61a989f475518b38bece29,4464be687305f8b23be470b4167c1d9eda39c1dac9d19fa3e2e89d78491c3a15,xStart DLL
1e02f6bbe18dcc521209b226a4a4afc5,db04e441406e0badb5bc374405ec88a56d7b4a76,9be74bb4724c3f647a22eccda17a14e858b5602041813a3a80d2c84e61281905,xStart DLL
4abb706a15594c641ebef6b210fdbbe5,a102aa43d272e52792566c74c44b5a30e798b404,47ffe710f5d71e685afe65dc9879093e96c4d4fdcd32f7142f249c810bac65a5,xStart DLL
7b9e602b736fcc7ef0abafd456da17db,3f47c76716ae0afb2a7b4d131172f97eb662ab40,6abdda1579baab9714f4479b616761e25c0c26ff05fd75b56969363ec0315b80,xStart DLL
71d64a3bac60b2aae324c2fa405dc85b,997e9b222c36f0603b4e115de4174b97cdd03f37,0bff0d4bcbd5545072b5f8f87d0982cbcdfc66021a2bad486fa2111bf68be60d,xStart DLL
dd012eb2bd6b0a37c019689b80539cbd,116b41ceb738eb6f4c2c2cfb828b9d4e1044f5eb,6bbd1cfaedf4da24b32aa0ba5ba075888916958a888402d30e8718a73ea3e7fa,xStart DLL
db76d86b90e02efacce0fb2dc1ba3e7f,bd6f92044b11a5ec97fde2cefa4ea0772cb79e6d,a8bc4aaaf06d41b7df3c775fbdfa071cbcba9b59ced0b69818f73b1ecfc25091,xStart DLL
0bb550cad5f7a5233288b06c706d324d,e0353689eb41cf17eb7bf12242b6c94e3cdbebf5,0626b813f02280f9339d43ebc8fe21cb1b658bef59cc74ab49e1c50db3108f31,xStart DLL
f02363cb3c818051131c1e3037d2e754,7c2686760eeb28796632e32c8e6fcaa97b24b482,f38b65df5a1ec605c189e6b586455ff444b48a69b3f13bb62550e9e57852cf05,xStart DLL
e9f3451cc3feaf5c9708b20a481e28d5,b783dce06e53a84a96d106019a45862107a6bf04,7ee5eaeef5f94e93d6610244cd01f90c4badd710f9a956a62d0c4efa7b8545b1,xStart DLL
e2725ea69ef2d4dab350784396eb7461,d14354c6585e1a10721cad8969984986b5b6894d,204458beb4f170ec21b8ab0bf45987c83c0f4a717e743e698b211c124e480d69,xStart DLL
220dbcf87c99aa75011f761bd74d3d6f,24c5699b2cbdc3eb1c59612174be68dd5ec494f9,00aa72cf0eedcdcdf48b582160da255c260525f347e2af5cb23a0c328586a2dc,xStart DLL
b8dbb1e6c70e0ae1d00e1c4bb145c820,dd047150686419cd4d4a0a01cf169fe13493ce02,105b331fe83f56ff154a0006aa267e625653cf70da0747ef14e434767d0d52a6,xStart DLL
e15ca896e8d44fa742ee370f0646fe96,7819e1e6a776da13ece4e4db67a314c52a41292c,f9becebb6c9731732d4f5fa04e2946b9f9cdf20f9d15527b549ffffd0e818775,xStart EXE (Elysion signed)
7de0726ba8f1ecee89c86d7e4dbd80ac,fb82c51d6afdc331648067b51db9d33d353920e1,c57086b95ea1a6c6a603f656ef4cb5e0c1c2b37a38e914fc6ac29325070ed0e1,Elysion signed binary
572a36db7328dd3b8be6ee21957fac95,c13c5ad3c5654c7d22ed94beb6ad42b45d24de26,6d228ac05829d2990f1ae93d1ebb081721f4314976cf02cf4bbd538294e92796,Elysion signed binary
d7f8123b94009246ff439feeccc9d047,9e75ea89d878faad0a1fe76982e8a0b063bc6803,111feba7002ddc81275a255bc428e9b521e61fc20087cf093a82db9ba1389e04,Elysion signed binary
face705bddbf6ad949c7abf0b9ce6a2c,a8c13622111544c25b40fbd57d73ec824829653f,43d7fd0dbb40d5f44ae3026031b7ad1cbd116fdf9941899c8d3ee420fbca96ab,Elysion signed binary
e6c6d52672edb4d810f54fa99f41fad7,037f8d8aa052c582a58c3f3fbabc288d14466f1f,409387fb2d360b4906269aa72a7eeebb3b4432c56647ed6b435c2972d7b4691c,Elysion signed binary
52d2667d4d5004decbb08cc50fd5d251,97d6715f64d1c9aba91b2a58661eb2fb359b52ae,7ef8f0bc4748bea83e52d90bb7e531e0e8d15278ec42ecbdad8feaa4fc4d88ee,Elysion signed binary
3353f3df9b8e8f52410b6292a5f768b6,539f0dc7b9e85ab1491f13e031af120f8a235446,7a731a7340e8e887330754b87a60175356d8cb4c7488a4b12643a95528dd7e30,Elysion signed binary
cc746ea709f01b2df150fd8e36c0a4e1,17b3aaf5cb505057d6f030e472a46530cf40935d,ff877538bea3b8d0e14f5bafb5aa2eff9a1e879cf10f3f97133b6dcf2e49f4c5,Elysion signed binary
7feec440019acfd7bdc77e8e3cf8c447,2c565b60868f1526b372050b881977b4b12b11a6,b2111aff59687c0ddc30fd6a761ac0d4aba46e15671c57e591ba0da55d9f54b8,Elysion signed binary
08e6856d7991453aa24d563428486986,0db796025d50ae585d313faa35db8385d67910fa,02efd5f4d8dedabeab8e75f3e49a8fdb05c28dfd39bc1e5c96e8213fe3212e9f,Elysion signed binary
4d9685128c34794612119afc869f70bd,a922a05f5b7eec44c4b4803cd1bc331c1f1a17ce,688a14c2bb60f693996ff2cd69a6083cd315804e6e086c6f7c92e8ffd6006d28,Elysion signed binary
26754458909287433490c460ee77a4ff,bbbaedcf344aa7c442837409c5220f97c3848c2a,4d803860fe04ee10ba86aa528f382cb468ae76aa7e5f81902eda83611f448386,Elysion signed binary
8332f15c6d78f1770a184b037fe6e4d3,2b76725cc32b0227e79a013f31e2616338778772,56e44e6de17894cd7870b952514934f45067984b156958828498cdf44290ef48,Elysion signed binary
7f860723871747ab24c5f6c3a200f5d6,f58053f5bcbf165b8e7e013ab21f4b2cd89c3dc2,9ddc9ee2af5c7f4c792ea3b4887828ea5bf494c2591f4de09de456b94f142e7a,Elysion signed binary
2efe82e632e4faa607dfcab312fa982c,f173dc3eb4d95d77a7554ad6b52c94c023b41b7d,4742666a73b53ca2ec59175ccc68836e1ad13658e780583fdd329df4a0e7b353,Elysion signed binary
55d5a25ec8d591cb7e87a68f261d76d8,a27738a37a103e5cc2ebe0d27e7127c04c2824aa,593f4c7c54f344dd316a49c5fdd28dce2d9be1606fc0c6a9ed0218b4a57c3aa7,Elysion signed binary
ba7c82d338e41b2a8b18412fb9b1b31e,b16479a12cf7060643a2739a1c1dabb5567c5807,e4de059a4666de155b1295ee0797ebfdb4d3c1342c77f237598825407b65f925,Elysion signed binary
3dc09d8ae86a6b39cd9b3dc0a591f929,608a18f119a087cc7f97d49243d4ce662614c1c6,4224dafafbe27fd7e025d580bad6151b7885b641c31d3ff03a6447168cec3a56,Elysion signed binary
12b2a09f86d9ef537077c5331deed441,8d16f6f5f92c9d3d7e8300c35bb4b3fcdd070240,41bacfd74d419a743279db72b6709945dc6735bbe9968145cbf5095218682472,Elysion signed binary
9bdc462dc57eb51db82dfb072496529b,2d068e1d477ac92cbad37e6648e0997c83e4017c,05f3479be88f5a2a8adbbef13a2e06d1f6638647eca30a4ea8c8c17323a86877,Elysion signed binary
6d67b2cc65d8ccf66be2b6388cb85e90,8c06a76f46e59a431d1a49b294d170170bd20105,137d5b70125d55b976926ae41b0e2780353be3100a8f5e373a0261b5a0db69ba,Elysion signed binary
209eb54c6336d399460a35ee24d9dc1c,6978bd3be45dc2de218d8d8d4048946f5be039a9,b05c312969eacbc995a0e337af16c1cd0d8798564ee174a5ae7d990dec542939,Elysion signed binary
b0744c803f3ee61a382785e9996e4dff,0a3b789f4cb0aab7b673b4154ef6c807c1d9324c,846ec2bd1927ccecf1a57bbbcfa21a5594329fed2ca1253e22e4d1ef7cce3d1a,Elysion signed binary
f9f2832d4bd0a4148ab338633c278f9d,17f84dc8522d35d4739cfda8cd61fc584d3e513a,a5e6e12540f0407c7e516d4eaf44a40dea9496b17b9b61e28874bc595d35bd83,Elysion signed binary
3a39c608b1e8df5c006ea237338f2a29,9340c234a8ff85ad0f5c810c8ecdc784aa08d909,e7b84052310499f693aca9bac50df9c410c01b5497128cad2cfbd526c74024c1,Elysion signed binary
b3c0d166cf540a167bc1915282a162a3,2044744e51a276b008e49044cb905a811bd6c443,50f7627327ba73f2519e9e3c1418e7291ab76241721a31d057de48045f773082,Elysion signed binary
48073731d6bc08d6edba5cd9e157729a,1f45b9d7573d182449935c1d39bde1fb11c7e3bc,14bdf9b3bcb10c51b8dc10275ced93259dbf62ce31331ab3ccf6e5317d7a3cf5,Elysion signed binary
b5d3e2a1aac3c6b5f3e6f5cd9cee1211,5e278299a583ab4c4e7406cfd1a7c8aad04acb3e,ea0fe8c9bb10ecdc113ff2e98479bfe15351de029f50726ef301b30b7befcde4,Elysion signed binary
b0da3557135a0589c4010cd5771879e6,93ece83cede579b15d050128c06a8a37177b2531,60755909e216dc65f11b7b49ae73ad3e08cb1c5e4255916ea195dbd896f3ae73,Elysion signed binary
b00dcb88106ed6ad8d85c63201dacc8f,379d47d3a09a40283ec34e34685d5c9384c48631,436695b9576aa20ebf09fde0b9040ff7622cdd824e45be7b1d282c5f1a78e619,Elysion signed binary
55203d1d68ddcb7a0baac1362843ded1,09cc639c91f46b1dedf6a5c2f72700c44fbeed7c,d2fc68beedb74aed330e428c4e12c6e40cd4628e7f5f40a1006ef6dc2801771f,Elysion signed binary
a3c53c66a891eee4f5677239135384cc,748a8c39858b6c861611d2f5bfacedc83a731bf7,06fb7b0e660f2b551d4b803190a5d8d88ba8165aab9361a0a2dd8f31d2692886,Elysion signed binary
ea2768822504b82503caf1c189b74d59,38aaf61bbf97cd39d702b64f68f9efeb4b43423a,556cc467aa3923dd58e9733f90be6675a50ad2052d810197df2a7c2d34d481bd,Elysion signed binary
9ac6cbb8156fcc0d6c365350825a0944,10632c21f2d95322db2d7e9b82d9b9b8b0da053b,53c99256dcbaad64ef8c07b456911c06a05eaf8de7ed0968d7c44013edbf1c1f,Elysion signed binary
9c1bfec053360abcd922432aaf78579a,763d855e28237bf1b46bc10974bde5fb3ebee910,35971fdeefceb43c5eef68ba4c5f466a213e9c1267b16f25a70ffea552fa9ce5,Elysion signed binary
50b37fb653212f45c5913780f393160b,156670f867ec8295e7abedccf9a9ca711bfb0b69,21db51e1e23b3dfbf0f7a068f4b489711328b293e3b0bc3d7bd7087cbb7cd50d,Elysion signed binary
560589688d3509758e8a42427218b7cb,7867ce6021720fbeec9978ccff4f1c60b7a421a4,29f506d39455ccf0dd4a159d20cc5f8657454e7ccef9935caccfdadbe250508a,Elysion signed binary
7dfacfe8e456ba21fe7a208aed728794,c9cbb8fb8c04d44311535cf8041e94951a97dd9b,2ec26449cf801d0272b3ec13180b6023c2e66325fc9bf3355957833bfd49b984,Elysion signed binary
e61f28d28438a2f94470ea820963a2ea,246d08c927847d8dd207afb2eae01656f123b97d,ce404353f4fb987251baa933c408ec3ee67f4d2390ed0ee0a339a4dcc1314ba8,Elysion signed binary
f0fcd453346038e434fa2d9f1e769f5b,6f32c711afa423df203ae2a27b259299402cf317,db07bb76b9b227a54092179f4dcb3dfc25b325887e01098125ac44fda70104e6,Elysion signed binary
9dc82eeaa7b0823864300b6c96ae19b8,ab300868ed58e738ba60943248ddc6f5ebf6c9e5,8a379f210761473c41a0ab941455b3dff5be315c98403d132f28ea16c27a6a81,Elysion signed binary
a6f90ad4eccdab2d146238458ed2d30b,035374b29878a9c8bdd80e918fe5c202e17a4bc3,55e3e8c4a3af5ff52aacb10aabf0143f4a398729d0d07c215aa48aa28dfd4975,Elysion signed binary
8aac79eaa92e2c1b20c41f380c37f2d0,601ddaaa55b9be32df5dac05860f7c46f7ec2efb,335a599cf626bf7817be8f0c8c1d5d1912aae0fd0699fe4bc6a6a78e43062978,Elysion signed binary
35f98af5d0b622cf5da3ecc1c2eb7ece,18c8b1d2dd6f577a57563bd655b62c60605c06ca,ba4b6f3a2d1c80b20d9948b81474135c2b612e37846fcc351ca46dc818d985db,Eagle Investments signed binary
0aa3ecd4346b9f189086cccd187f6bfe,970b16b40a712ad7ff8ca278e797e92aabc190dd,61ed1423ab5c8273efe6c7e885f7b2826d40547cb7f0f6d488e99b5e79de7d57,Eagle Investments signed binary
f22108cfd5b962cce1c001ded5d3f95e,8efed800a391562ce7fd3f577a616bb7ccf1cce9,5ff7b745a1176c80cb202a68337b6312cc9c242696471129050ac09b8f508553,Eagle Investments signed binary
d5256a963c00d4c04a4507c8a54e1059,d9bd5d9e3860366c05dadaee7a75c75e0e31089e,abcde639c80e012c8384ba2116aa15b4459fa8399dd879e54a2d50aa007d1428,Eagle Investments signed binary
418a840358741e7fa642a3a469b79046,7b55234e15f843982036ff5d74b44b272a37c556,548a7766f8a93f695e0fa1829a1f183788612c8472a94b2e9cf8df8e055a33fe,Eagle Investments signed binary
68a0208962457e1cd135643bcdba9be5,a606baa7a554af810850602c76fdb93f7d153ac1,667b97c508bec53db98488f1ddac9d2a13aac2ec4a33bb8220e9985865d9ffa8,Eagle Investments signed binary
9860e29218ddf86fcc80eedc772149a1,e52f8dfda5bb8a8803cb44a58d919a43c06436aa,267df6e1c22f5811b743aeb46da53024e26d347dd0d3a41344c4b51fd0789d21,Eagle Investments signed binary
9e305695c59be7f54d18928c6722d575,7f6d2dd5d87d76a72ef66503391de094d93be6e8,70a03f0393d8e06faee21df674b2f572f4d90ecc62969276d820034ec59093ca,Eagle Investments signed binary
030c15af678d32ebdb56d1cb3e9a921c,791b20717cec3dedad72ab6a2466fbcd05219ea2,8edcdd7ab2b2dd126bfbf904d1662b65eb4a1e908f9a3fe740766e0aa6053231,Eagle Investments signed binary
797e32e8bfa858b6e310de1f9007c0fd,72e28c0eefdd0c65dbd0cdf14238c1cb46660d24,995ee6af669cf834eb389323ded507c80e7561cfb1304401e6f822a0bcca70f1,Eagle Investments signed binary
bd1f9d19b889c35a53d68da51cc5a4fd,de36bd2a61e0f5b3687e319a0762b37b1279f321,9674348bde2ca84bfa8c464cdb9e727edd9f63ab25e6d4c1a22bf0aaff646aa3,Eagle Investments signed binary
d5284621133b90f6ad1839a02ef43894,e9cf0d055f5961ec02a0047ccc7dad56b82f8255,ead0fe412ccddb18321b12ea06745053ac7a44cd8e026d3d8223bf16275b9d2e,Eagle Investments signed binary
e6127f8a3f6c34349e045a8a76d89182,26939f9845c8576efcf0ace83b51dcd80fff1e0a,1acc5597a950aa973a1124e65c87cb50f1404df34ee3c9d57206d118543d7f6e,Eagle Investments signed binary
64849fd70205d1d7c8ba1f1ca27ba8b3,9ee23a7124198919633dc63cbbafcbae7e884d48,93e3c908fd24185ee883c30bcbefa0f807930ea71ca9ac13cf74dc75b5b77287,Eagle Investments signed binary
ac60892977294c07fad8921b0109ef36,497db8b0546813598ee5aff54cf7800279497fdc,9122df1ddba9c9fa5d54e47b737a93ffc8c80406d596fecd3c501a78583f0d08,Eagle Investments signed binary
3d679ab60c2b282c5120894d8b6ac3e7,d9f2ed22a3de119b86d1ff3a0661fddf091fd93b,8cad9540b5b71320afa7b93740f5719ce11b5027cc61cdfa3e9a01ee08858a69,Eagle Investments signed binary
9397cf3538d7097815320266ac0a3a53,ece57994ccadeb96578006b13d94515c89211d4e,92fbb268b487c464a11010915ec7a4c7b6a9a8480e85494088de71a6a3acd0ba,Eagle Investments signed binary
ec819ce7c7b241fb06bdae42af7cbc90,f954d12b80c13c17f4f741dc7cbcfaca6805f250,9cc7c7a37dd087cd6c8a62546d14ed7d464ccfe51a72fef094b745f8a56da72c,Eagle Investments signed binary
8d9cd6fe89cbcb8a335970e102e61500,df2483a53d4d367f36d25bb74e8d5ae68779db6a,976ef0c8b56394b84c3ecb6a8bee7da933e635e1758626b6e1a455020b629153,Eagle Investments signed binary
be131eb005bfce68fdee1bef32ba0ce5,d2405ffc4762ef67393acb143dfcc1df75986b3a,442a5e02c4c1162adde38dadc995f3ba49de64d38a2356ad3bafa75c33ec19b8,Eagle Investments signed binary
20e4547d0324693e8b2856c1a01ff5d2,d369cd8adad11b62a72b248fe4c88ab7a94ef10a,02a4869873d7fb2f0d713ec54f6742a1e97339fd5d81caa9175670c2b8c35a76,Eagle Investments signed binary
32ab666e3e7db1858a7b1f68e605591b,765630f64ece3ae48e1373e90a798469610f6e82,b8101de8d142e4b55a498da606dfc37e36c9a1031d5b94bd31146bd07b6b4020,Eagle Investments signed binary
5930d5af10d3e1b56579212285d82b50,eed7837d61edf4a3966b09195dec69257e2b2314,e395a2b3968d8d5110089662cd156f1c8b84916b78bea87bcf9d3056ae2e8508,Eagle Investments signed binary
845de6dd155fd2b0ab36195309b15bee,86abbf8cde76b4be22d4dfd002417079480baa3d,9a5717a7356b69b57f3d84cf6fb0f1cd2b1b20daac553d65a6281ad0f1efe80e,Eagle Investments signed binary
9cf555eaa188e2aafe6f743a1d94b4dc,f4a898782c51d493bca8be94ba34c2924b24a428,e1e6132b19221cff96776502ef1fe57a118ef9b3c2724c93e27221e274baa63a,Eagle Investments signed binary